type_of_prompt,temperature,word,closeness
positive,0.1,I,0.7094203410526989
positive,0.1,it,0.5863547016222065
positive,0.1,work,0.5303786309845342
positive,0.1,try,0.5290241434190867
positive,0.1,know,0.5265269343179798
positive,0.1,start,0.5255727354518727
positive,0.1,find,0.5202924926845054
positive,0.1,city,0.5189889681860116
positive,0.1,feel,0.5180618710652792
positive,0.1,want,0.5151172920467909
positive,0.7,I,0.7096659768231932
positive,0.7,it,0.5932403485970394
positive,0.7,work,0.5389606788094669
positive,0.7,know,0.5341254019729833
positive,0.7,try,0.5332710747145492
positive,0.7,feel,0.5324194760644141
positive,0.7,find,0.5224084548911566
positive,0.7,start,0.5201264834813356
positive,0.7,city,0.5194781488182241
positive,0.7,want,0.5193163176192152
positive,1.3,I,0.5201312255507335
positive,1.3,find,0.48614083306823286
positive,1.3,it,0.4837187673284823
positive,1.3,meet,0.47630796644264806
positive,1.3,end,0.4747657963854053
positive,1.3,lead,0.4696397178204569
positive,1.3,let,0.4683561689193044
positive,1.3,work,0.46813265403624854
positive,1.3,sit,0.4654670209902759
positive,1.3,come,0.46265091788216556
negative,0.1,I,0.739746835443038
negative,0.1,it,0.5844
negative,0.1,feel,0.5610599078341014
negative,0.1,find,0.5451492537313433
negative,0.1,try,0.5334063526834611
negative,0.1,they,0.5328227571115973
negative,0.1,work,0.5326285089318264
negative,0.1,know,0.5287730727470141
negative,0.1,help,0.5278179190751445
negative,0.1,maybe,0.5144366197183099
negative,0.7,I,0.7244825345276225
negative,0.7,it,0.5874562549612924
negative,0.7,feel,0.5649882452099744
negative,0.7,find,0.5427127229973946
negative,0.7,they,0.5306665293794618
negative,0.7,try,0.5283519036334042
negative,0.7,work,0.5274316971248991
negative,0.7,people,0.5192918538426057
negative,0.7,know,0.5172223730701045
negative,0.7,help,0.5169280786899793
negative,1.3,I,0.5203702110802751
negative,1.3,it,0.47763095882869067
negative,1.3,find,0.47583894672703225
negative,1.3,end,0.4743519005821358
negative,1.3,meet,0.47147561561701984
negative,1.3,leave,0.47057373122508084
negative,1.3,work,0.47010859187196463
negative,1.3,feel,0.46775828009081283
negative,1.3,lead,0.4668018130771642
negative,1.3,follow,0.4656896002614378
