type_of_prompt,temperature,word,clustering
positive,0.1,casanova,1.0
positive,0.1,tall,1.0
positive,0.1,happiness,1.0
positive,0.1,special,1.0
positive,0.1,train,1.0
positive,0.1,king,1.0
positive,0.1,touristy,1.0
positive,0.1,not-stagnate,1.0
positive,0.1,alleyway,1.0
positive,0.1,neighbour,1.0
positive,0.7,regular,1.0
positive,0.7,succeed,1.0
positive,0.7,unfair,1.0
positive,0.7,partner,1.0
positive,0.7,weary,1.0
positive,0.7,meditation,1.0
positive,0.7,physical,1.0
positive,0.7,mental,1.0
positive,0.7,oddly,1.0
positive,0.7,not-spreadsheet,1.0
positive,1.3,turing,1.0
positive,1.3,chasing,1.0
positive,1.3,decency,1.0
positive,1.3,nemeth,1.0
positive,1.3,untouched,1.0
positive,1.3,unexplored,1.0
positive,1.3,unseeable,1.0
positive,1.3,absalon,1.0
positive,1.3,gracious,1.0
positive,1.3,meekly,1.0
negative,0.1,yield,1.0
negative,0.1,personal,1.0
negative,0.1,someplace,1.0
negative,0.1,outdo,1.0
negative,0.1,merry,1.0
negative,0.1,autopilot,1.0
negative,0.1,not-crave,1.0
negative,0.1,alternative,1.0
negative,0.1,visualization,1.0
negative,0.1,ceiling,1.0
negative,0.7,easily,1.0
negative,0.7,garden,1.0
negative,0.7,litter,1.0
negative,0.7,laptop,1.0
negative,0.7,predictive,1.0
negative,0.7,not-lonely,1.0
negative,0.7,accomplish,1.0
negative,0.7,entity,1.0
negative,0.7,breathing,1.0
negative,0.7,vibrancy,1.0
negative,1.3,qualification,1.0
negative,1.3,crappy,1.0
negative,1.3,headfirst,1.0
negative,1.3,marionette,1.0
negative,1.3,합니다,1.0
negative,1.3,forsake,1.0
negative,1.3,greedy,1.0
negative,1.3,barbed,1.0
negative,1.3,arduous,1.0
negative,1.3,koala,1.0
