type_of_prompt,temperature,word,degree
positive,0.1,I,888
positive,0.1,it,500
positive,0.1,work,269
positive,0.1,know,256
positive,0.1,try,251
positive,0.1,start,242
positive,0.1,city,227
positive,0.1,find,227
positive,0.1,feel,222
positive,0.1,want,210
positive,0.7,I,1009
positive,0.7,it,590
positive,0.7,work,329
positive,0.7,know,318
positive,0.7,feel,297
positive,0.7,try,296
positive,0.7,find,244
positive,0.7,want,242
positive,0.7,start,241
positive,0.7,think,239
positive,1.3,I,3437
positive,1.3,find,1666
positive,1.3,it,1606
positive,1.3,meet,1356
positive,1.3,end,1314
positive,1.3,sit,1215
positive,1.3,lead,1162
positive,1.3,let,1118
positive,1.3,work,1117
positive,1.3,light,1041
negative,0.1,I,962
negative,0.1,it,465
negative,0.1,feel,372
negative,0.1,find,327
negative,0.1,work,267
negative,0.1,they,265
negative,0.1,try,262
negative,0.1,know,238
negative,0.1,help,236
negative,0.1,city,201
negative,0.7,I,1148
negative,0.7,it,601
negative,0.7,feel,488
negative,0.7,find,380
negative,0.7,they,323
negative,0.7,try,308
negative,0.7,work,301
negative,0.7,know,254
negative,0.7,people,251
negative,0.7,help,249
negative,1.3,I,3506
negative,1.3,it,1357
negative,1.3,end,1306
negative,1.3,find,1291
negative,1.3,meet,1224
negative,1.3,leave,1216
negative,1.3,lead,1184
negative,1.3,feel,1165
negative,1.3,follow,1136
negative,1.3,work,1110
